設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立, 綜合高中,藝術群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立, 綜合高中,綜合,91,9,16,45,9,0,0,0,0,0,0,1,0,0,87.91,9.89,17.58,49.45,9.89,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,1,10.99,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,3.3,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
國立, 實用技能學程,機械群,273,31,32,91,15,0,0,0,0,0,0,6,0,0,64.1,11.36,11.72,33.33,5.49,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,8,0,14,1,0,2,12,1,5,0,0,0,2,0,8,0,0,3,5,22.34,2.93,0.0,5.13,0.37,0.0,0.73,4.4,0.37,1.83,0.0,0.0,0.0,0.73,0.0,2.93,0.0,0.0,1.1,1.83,1,8,6,2,0,0,2,0.37,2.93,2.2,0.73,0.0,0.0,0.73
國立, 實用技能學程,動力機械群,50,4,1,9,9,0,0,0,0,0,0,0,0,0,46.0,8.0,2.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,18.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0,1,5,0,1,0,0,0.0,2.0,10.0,0.0,2.0,0.0,0.0
國立, 實用技能學程,電機與電子群,287,27,21,65,34,7,0,1,0,0,0,2,0,1,55.05,9.41,7.32,22.65,11.85,2.44,0.0,0.35,0.0,0.0,0.0,0.7,0.0,0.35,14,0,11,18,0,10,1,2,7,0,0,0,10,0,21,0,1,0,2,33.8,4.88,0.0,3.83,6.27,0.0,3.48,0.35,0.7,2.44,0.0,0.0,0.0,3.48,0.0,7.32,0.0,0.35,0.0,0.7,0,12,8,2,0,0,1,0.0,4.18,2.79,0.7,0.0,0.0,0.35
國立, 實用技能學程,土木與建築群,109,5,0,65,7,1,0,0,0,0,0,0,0,0,71.56,4.59,0.0,59.63,6.42,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,1,0,10,2,0,2,0,0,0,0,0,0,0,0,0,2,20.18,0.0,0.0,4.59,0.92,0.0,9.17,1.83,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0,4,3,0,0,0,0,0.0,3.67,2.75,0.0,0.0,0.0,0.0
國立, 實用技能學程,商業群,262,25,15,123,7,2,2,1,0,0,0,4,0,0,68.32,9.54,5.73,46.95,2.67,0.76,0.76,0.38,0.0,0.0,0.0,1.53,0.0,0.0,4,5,3,4,1,1,14,3,12,1,0,1,0,2,4,0,0,2,1,22.14,1.53,1.91,1.15,1.53,0.38,0.38,5.34,1.15,4.58,0.38,0.0,0.38,0.0,0.76,1.53,0.0,0.0,0.76,0.38,3,6,7,1,1,0,3,1.15,2.29,2.67,0.38,0.38,0.0,1.15
國立, 實用技能學程,設計群,119,6,5,75,2,0,0,0,0,0,0,2,0,0,75.63,5.04,4.2,63.03,1.68,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0,0,1,0,0,6,0,0,4,0,0,0,0,2,2,0,0,3,0,15.13,0.0,0.0,0.84,0.0,0.0,5.04,0.0,0.0,3.36,0.0,0.0,0.0,0.0,1.68,1.68,0.0,0.0,2.52,0.0,0,4,4,0,0,0,0,0.0,3.36,3.36,0.0,0.0,0.0,0.0
國立, 實用技能學程,農業群,115,29,10,39,0,3,1,0,0,0,0,0,0,0,71.3,25.22,8.7,33.91,0.0,2.61,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,1,1,0,2,1,1,3,0,0,0,1,1,2,0,0,1,1,20.0,6.96,0.0,0.87,0.87,0.0,1.74,0.87,0.87,2.61,0.0,0.0,0.0,0.87,0.87,1.74,0.0,0.0,0.87,0.87,1,2,5,0,0,0,0,0.87,1.74,4.35,0.0,0.0,0.0,0.0
國立, 實用技能學程,食品群,191,6,3,79,25,0,0,0,0,0,0,0,0,0,59.16,3.14,1.57,41.36,13.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,14,0,0,3,5,0,18,0,0,0,1,2,13,0,0,0,0,31.94,2.62,0.0,7.33,0.0,0.0,1.57,2.62,0.0,9.42,0.0,0.0,0.0,0.52,1.05,6.81,0.0,0.0,0.0,0.0,0,2,12,0,1,0,0,0.0,1.05,6.28,0.0,0.52,0.0,0.0
