升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率,年份_102,年份_103,年份_104,年份_105,年份_106,年份_107,年份_108,年份_109,年份_110,設立別_國立,設立別_私立,設立別_縣市立,學程別_實用技能學程,學程別_專業群科,學程別_普通科,學程別_綜合高中,學程別_職業科,學程別_進修部,群科別_其他(綜合),群科別_動力機械群,群科別_化工群,群科別_商業群,群科別_商業與管理群,群科別_土木與建築群,群科別_外語群,群科別_學術學程,群科別_學術群,群科別_家政群,群科別_普通科,群科別_服務群,群科別_機械群,群科別_水產群,群科別_海事群,群科別_無,群科別_綜合,群科別_美容造型群,群科別_藝術群,群科別_設計群,群科別_農業群,群科別_電機與電子群,群科別_食品群,群科別_餐旅群
39.29,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,7.14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47.37,0.0,36.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,10.53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11.11,0.0,55.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9.09,0.0,63.64,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4.12,4.58,33.87,13.96,0.0,0.0,0.0,0.46,0.0,0.0,0.46,0.23,0.0,1.83,0.23,10.07,0.46,0.0,0.46,2.97,0.23,3.89,0.23,0.0,0.0,2.52,3.2,3.66,0.0,0.0,0.46,1.37,0.46,4.12,0.46,0.46,0.46,0.23,2.29,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.99,1.2,18.56,13.17,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.6,5.99,1.2,0.0,1.8,2.4,4.19,4.19,1.2,0.0,0.0,8.38,2.99,6.59,0.0,0.0,0.0,4.79,0.0,10.18,5.39,0.0,0.0,0.0,1.2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.15,5.38,21.39,17.32,0.0,1.44,1.31,0.26,0.0,0.13,0.26,0.0,0.0,3.94,2.49,9.84,1.57,0.13,1.18,0.92,1.31,3.94,0.66,0.0,0.0,1.57,0.0,2.1,0.0,0.13,0.66,3.94,0.92,8.66,2.1,0.52,0.0,0.0,1.57,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.82,6.82,44.7,14.39,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,3.03,0.76,1.52,0.0,3.79,0.0,0.0,2.27,0.0,0.76,0.0,3.03,0.76,0.0,0.0,0.76,0.0,0.76,0.0,5.3,1.52,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.07,2.51,42.39,15.36,0.74,0.3,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,2.81,0.44,0.0,0.89,3.69,0.89,4.14,0.44,0.15,0.0,3.4,0.3,3.69,0.15,0.89,2.36,4.73,1.03,3.1,0.74,0.15,0.15,0.0,1.03,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.59,1.2,34.13,16.17,1.2,0.6,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.6,5.39,0.6,7.78,0.0,0.0,0.0,1.8,0.0,0.6,0.0,1.2,0.0,7.78,1.2,5.99,1.8,1.2,0.0,0.0,1.2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
