設立別,學程別,群科別,畢業生人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率
縣市立,實用技能學程,設計群,16,0,0,1,0,0,1,6,0,2,0,1,0,0,0,0,0,0,0,4,93.75,0,0,6.25,0,0,6.25,37.5,0,12.5,0,6.25,0,0,0,0,0,0,0,25
縣市立,實用技能學程,餐旅群,31,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,2,0,45.16,0,0,0,0,0,0,3.23,0,32.26,0,0,0,3.23,0,0,0,0,6.45,0
縣市立,實用技能學程,美容造型群,34,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,29.41,0,0,0,0,0,0,0,0,0,0,0,0,26.47,0,0,0,0,0,2.94
私立,普通科,,28518,6,1,14,1,0,7,6,2,25,2,0,0,0,6,37,1,0,22,40,0.5961147346,0.0210393436,0.0035065573,0.0490918017,0.0035065573,0,0.0245459008,0.0210393436,0.0070131145,0.0876639316,0.0070131145,0,0,0,0.0210393436,0.1297426187,0.0035065573,0,0.0771442598,0.1402622905
私立,職業科,機械群,1739,4,0,97,2,0,9,16,5,12,0,0,0,14,0,4,0,1,2,18,10.58,0.23,0,5.58,0.12,0,0.52,0.92,0.29,0.69,0,0,0,0.81,0,0.23,0,0.06,0.12,1.04
私立,職業科,動力機械群,3972,62,12,311,9,8,78,86,146,104,6,3,4,267,16,94,1,2,25,320,39.12,1.56,0.3,7.83,0.23,0.2,1.96,2.17,3.68,2.62,0.15,0.08,0.1,6.72,0.4,2.37,0.03,0.05,0.63,8.06
私立,職業科,電機與電子群,12542,50,10,482,49,2,97,113,40,250,62,8,0,78,41,108,1,4,44,257,13.52,0.4,0.08,3.84,0.39,0.02,0.77,0.9,0.32,1.99,0.49,0.06,0,0.62,0.33,0.86,0.01,0.03,0.35,2.05
私立,職業科,土木與建築群,212,0,0,2,0,0,2,1,0,6,0,0,0,0,0,1,0,0,0,9,9.91,0,0,0.94,0,0,0.94,0.47,0,2.83,0,0,0,0,0,0.47,0,0,0,4.25
私立,職業科,商業與管理群,13321,9,4,121,7,0,30,220,37,258,58,11,2,29,26,90,4,9,50,240,9.05,0.07,0.03,0.91,0.05,0,0.23,1.65,0.28,1.94,0.44,0.08,0.02,0.22,0.2,0.68,0.03,0.07,0.38,1.8
私立,職業科,外語群,5197,1,1,4,0,1,0,1,1,56,0,0,0,0,11,15,2,1,4,45,2.75,0.02,0.02,0.08,0,0.02,0,0.02,0.02,1.08,0,0,0,0,0.21,0.29,0.04,0.02,0.08,0.87
