設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
縣市立, 綜合高中,設計群,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85
縣市立, 綜合高中,農業群,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立, 綜合高中,餐旅群,99,0,0,0,1,0,2,3,0,4,0,0,0,0,2,1,0,0,0,1,14.14,0,0,0,1.01,0,2.02,3.03,0,4.04,0,0,0,0,2.02,1.01,0,0,0,1.01
縣市立, 綜合高中,藝術群,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立, 綜合高中,綜合,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0
縣市立, 實用技能學程,機械群,106,0,0,10,0,0,0,1,0,3,0,0,0,4,0,1,0,0,1,1,19.81,0,0,9.43,0,0,0,0.94,0,2.83,0,0,0,3.77,0,0.94,0,0,0.94,0.94
縣市立, 實用技能學程,動力機械群,36,0,0,1,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,47.22,0,0,2.78,0,0,0,0,0,5.56,0,0,0,38.89,0,0,0,0,0,0
縣市立, 實用技能學程,電機與電子群,91,0,0,12,0,0,3,1,0,3,0,0,0,6,4,0,0,0,0,0,31.87,0,0,13.19,0,0,3.3,1.1,0,3.3,0,0,0,6.59,4.4,0,0,0,0,0
縣市立, 實用技能學程,土木與建築群,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,28.57,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0
縣市立, 實用技能學程,商業群,31,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,16.13,0,0,0,0,0,0,0,0,3.23,0,3.23,0,0,0,6.45,0,0,0,3.23
縣市立, 實用技能學程,設計群,21,0,0,3,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,42.86,0,0,14.29,0,0,4.76,0,0,4.76,0,0,0,9.52,0,0,0,0,0,9.52
縣市立, 實用技能學程,食品群,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,0,0
縣市立, 實用技能學程,餐旅群,66,0,0,1,0,0,0,0,0,11,0,0,1,2,0,1,0,0,1,0,25.76,0,0,1.52,0,0,0,0,0,16.67,0,0,1.52,3.03,0,1.52,0,0,1.52,0
縣市立, 進修部,  普通科,292,3,0,32,0,0,12,9,6,19,0,3,2,3,9,3,1,3,10,28,48.97,1.03,0,10.96,0,0,4.11,3.08,2.05,6.51,0,1.03,0.68,1.03,3.08,1.03,0.34,1.03,3.42,9.59
縣市立, 進修部,機械群,196,1,0,17,3,1,4,8,4,16,0,1,1,13,2,0,0,0,8,3,41.84,0.51,0,8.67,1.53,0.51,2.04,4.08,2.04,8.16,0,0.51,0.51,6.63,1.02,0,0,0,4.08,1.53
縣市立, 進修部,動力機械群,131,1,0,5,0,0,4,3,1,6,0,0,0,16,2,0,0,1,5,1,34.35,0.76,0,3.82,0,0,3.05,2.29,0.76,4.58,0,0,0,12.21,1.53,0,0,0.76,3.82,0.76
縣市立, 進修部,電機與電子群,203,1,0,7,4,0,5,9,2,10,0,0,0,7,2,1,0,0,8,2,28.57,0.49,0,3.45,1.97,0,2.46,4.43,0.99,4.93,0,0,0,3.45,0.99,0.49,0,0,3.94,0.99
縣市立, 進修部,化工群,21,0,0,1,0,0,0,1,0,5,0,0,0,0,1,0,0,0,2,0,47.62,0,0,4.76,0,0,0,4.76,0,23.81,0,0,0,0,4.76,0,0,0,9.52,0
縣市立, 進修部,土木與建築群,39,0,0,0,0,0,4,2,1,1,0,0,0,2,0,1,0,0,1,0,30.77,0,0,0,0,0,10.26,5.13,2.56,2.56,0,0,0,5.13,0,2.56,0,0,2.56,0
縣市立, 進修部,商業與管理群,266,1,0,9,1,0,4,10,4,15,0,4,2,3,1,2,1,0,6,10,27.44,0.38,0,3.38,0.38,0,1.5,3.76,1.5,5.64,0,1.5,0.75,1.13,0.38,0.75,0.38,0,2.26,3.76
縣市立, 進修部,外語群,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18
縣市立, 進修部,設計群,54,0,0,0,1,0,0,2,1,3,0,0,0,1,1,0,0,0,5,3,31.48,0,0,0,1.85,0,0,3.7,1.85,5.56,0,0,0,1.85,1.85,0,0,0,9.26,5.56
縣市立, 進修部,食品群,30,2,1,2,0,0,1,2,0,6,0,1,1,0,2,0,0,2,2,0,73.33,6.67,3.33,6.67,0,0,3.33,6.67,0,20,0,3.33,3.33,0,6.67,0,0,6.67,6.67,0
縣市立, 進修部,家政群,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立, 進修部,餐旅群,26,0,0,0,0,0,0,1,0,5,0,0,0,0,0,2,0,2,0,0,38.46,0,0,0,0,0,0,3.85,0,19.23,0,0,0,0,0,7.69,0,7.69,0,0
