設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
私立,專業群(職業)科,設計群,6332,348,108,4385,538,6,2,1,4,0,2,33,31,5,86.28,5.5,1.71,69.25,8.5,0.09,0.03,0.02,0.06,0,0.03,0.52,0.49,0.08
私立,專業群(職業)科,食品群,103,0,0,30,15,0,20,7,0,0,0,0,0,0,69.9,0,0,29.13,14.56,0,19.42,6.8,0,0,0,0,0,0
私立,專業群(職業)科,家政群,5290,254,75,2571,426,21,42,50,43,0,0,11,6,5,66.24,4.8,1.42,48.6,8.05,0.4,0.79,0.95,0.81,0,0,0.21,0.11,0.09
私立,專業群(職業)科,餐旅群,18074,728,625,8588,1837,43,26,105,209,0,3,78,38,9,67.99,4.03,3.46,47.52,10.16,0.24,0.14,0.58,1.16,0,0.02,0.43,0.21,0.05
私立,專業群(職業)科,海事群,61,4,2,19,10,1,0,4,0,0,0,1,0,0,67.21,6.56,3.28,31.15,16.39,1.64,0,6.56,0,0,0,1.64,0,0
私立,專業群(職業)科,藝術群,2637,183,60,1672,223,3,0,2,0,0,1,14,18,1,82.56,6.94,2.28,63.41,8.46,0.11,0,0.08,0,0,0.04,0.53,0.68,0.04
私立,專業群(職業)科,綜合,397,1,0,29,5,0,0,0,0,0,0,0,0,0,8.82,0.25,0,7.3,1.26,0,0,0,0,0,0,0,0,0
私立,綜合高中,學術群,1548,323,10,1070,26,0,0,0,1,1,3,21,30,0,95.93,20.87,0.65,69.12,1.68,0,0,0,0.06,0.06,0.19,1.36,1.94,0
私立,綜合高中,動力機械群,47,1,0,12,10,0,0,0,0,0,0,1,0,0,51.06,2.13,0,25.53,21.28,0,0,0,0,0,0,2.13,0,0
私立,綜合高中,電機與電子群,534,83,19,265,22,6,0,9,0,0,0,17,0,0,78.84,15.54,3.56,49.63,4.12,1.12,0,1.69,0,0,0,3.18,0,0
私立,綜合高中,化工群,160,22,0,137,0,0,0,0,0,0,0,0,0,0,99.38,13.75,0,85.63,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,商業與管理群,861,109,49,587,23,1,0,0,0,0,0,13,2,0,91.06,12.66,5.69,68.18,2.67,0.12,0,0,0,0,0,1.51,0.23,0
私立,綜合高中,外語群,722,58,6,556,28,0,0,0,0,0,0,4,18,1,92.94,8.03,0.83,77.01,3.88,0,0,0,0,0,0,0.55,2.49,0.14
私立,綜合高中,設計群,403,19,3,322,20,2,0,0,0,0,0,2,1,0,91.56,4.71,0.74,79.9,4.96,0.5,0,0,0,0,0,0.5,0.25,0
私立,綜合高中,家政群,401,20,4,274,24,1,1,0,0,0,0,1,2,0,81.55,4.99,1,68.33,5.99,0.25,0.25,0,0,0,0,0.25,0.5,0
私立,綜合高中,餐旅群,1109,63,17,666,102,0,1,0,0,0,3,10,4,0,78.09,5.68,1.53,60.05,9.2,0,0.09,0,0,0,0.27,0.9,0.36,0
私立,綜合高中,藝術群,16,0,0,4,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,綜合,216,10,2,124,26,0,0,0,0,0,1,1,0,0,75.93,4.63,0.93,57.41,12.04,0,0,0,0,0,0.46,0.46,0,0
私立,實用技能學程,機械群,130,2,0,20,28,0,0,0,0,0,0,1,1,0,40,1.54,0,15.38,21.54,0,0,0,0,0,0,0.77,0.77,0
私立,實用技能學程,動力機械群,1099,6,12,148,94,16,0,9,2,0,0,9,1,2,27.21,0.55,1.09,13.47,8.55,1.46,0,0.82,0.18,0,0,0.82,0.09,0.18
私立,實用技能學程,電機與電子群,365,5,9,206,10,0,0,1,0,0,0,3,0,0,64.11,1.37,2.47,56.44,2.74,0,0,0.27,0,0,0,0.82,0,0
私立,實用技能學程,商業與管理群,627,5,2,236,70,1,2,1,1,0,0,1,2,0,51.2,0.8,0.32,37.64,11.16,0.16,0.32,0.16,0.16,0,0,0.16,0.32,0
私立,實用技能學程,農業群,26,0,0,12,0,0,0,0,0,0,0,1,0,0,50,0,0,46.15,0,0,0,0,0,0,0,3.85,0,0
私立,實用技能學程,食品群,196,0,6,58,14,16,0,0,0,0,0,0,0,6,51.02,0,3.06,29.59,7.14,8.16,0,0,0,0,0,0,0,3.06
